Don Quixote
The Miraculous Journey of Edward Tulane
Flatland
Diary of a Wimpy Kid
The Memory Keeper's Daughter
The Wedding
Fried Green Tomatoes at the Whistle-Stop Cafe
The Cricket in Times Square
The Phantom Tollbooth
Rob Roy
The Death of Ivan Ilych
Alex Cross's Trial
Kenilworth
The Life and Opinions of Tristram Shandy
The Remains of theDay
"M.C. Higgins, The Great"
Call It Courage
Go Set a Watchman
Bleachers
Elijah of Buxton
Swimsuit
Cat's Cradle
The Caine Mutiny
The Heart of the Matter
"Harriet, the Spy"
Darkness at Noon
A Prayer for Owen Meany
The God of Small Things
The Associate
The Shack
The Naked and the Dead
The Sea of Monsters
Stranger in a Strange Land
Vision in White
The Whipping Boy
Room
Deception Point
